City_Name,Lattitude,Longitude,Temperature(F),Humidity,Cloudiness,Windiness(mph)
agnibilekrou,7.13,-3.2,84.33,58,36,8.3
svetlyy yar,48.48,44.79,24.8,85,90,8.95
upernavik,72.79,-56.15,11.25,97,44,9.42
lorengau,-2.02,147.27,83.97,97,80,9.86
cape town,-33.93,18.42,68.0,77,0,6.93
talnakh,69.49,88.39,-42.35,0,0,2.71
souillac,45.6,-0.6,37.4,100,20,2.71
bluff,-23.58,149.07,75.47,79,92,16.46
srednekolymsk,67.46,153.71,-33.75,61,0,2.48
arraial do cabo,-22.97,-42.02,80.6,78,0,13.87
castro,-42.48,-73.76,59.0,72,20,9.17
caravelas,-17.73,-39.27,81.0,100,76,13.33
albany,42.65,-73.75,15.98,46,20,9.17
ayagoz,47.96,80.43,-20.88,57,0,7.4
port antonio,18.18,-76.45,80.6,61,40,5.82
kandrian,-6.21,149.55,83.3,85,48,5.28
port elizabeth,39.31,-74.98,30.2,62,1,7.74
bismarck,46.81,-100.78,8.96,60,1,13.87
nouadhibou,20.93,-17.03,62.6,77,24,23.04
kayerkan,69.35,87.76,-41.45,0,0,3.04
longuenesse,50.74,2.25,39.2,69,75,10.29
barrow,-38.31,-60.23,78.26,72,0,7.74
tigre,-34.42,-58.58,87.8,66,0,4.7
cairns,-16.92,145.77,80.6,94,75,11.41
fortuna,38.18,-1.13,55.4,54,0,9.17
rio gallegos,-51.62,-69.22,59.0,26,40,28.86
victoria,5.28,115.24,80.6,88,75,5.82
bundaberg,-24.87,152.35,82.4,58,40,16.11
tulsipur,27.53,82.41,42.03,91,0,5.5
hasanabad,35.37,51.24,51.8,66,0,5.82
pochutla,15.74,-96.47,86.0,65,75,14.99
praya,-8.71,116.27,78.8,88,75,3.36
rumuruti,0.26,36.54,44.73,92,32,2.59
east london,-33.02,27.91,72.72,89,32,27.65
nikolskoye,59.7,30.79,10.4,85,75,11.18
thompson,55.74,-97.86,-27.41,54,75,13.87
katsuura,33.93,134.5,41.0,60,40,9.17
muriwai beach,-36.82,174.45,77.0,69,8,11.41
kropotkin,45.43,40.58,32.27,100,88,3.38
teeli,51.01,90.2,-24.75,61,0,2.37
yabelo,4.89,38.09,66.83,42,0,9.75
alice springs,-23.7,133.88,87.8,29,0,18.34
gornyak,51.0,81.46,-27.18,42,0,3.04
dorado,18.46,-66.27,78.08,73,40,8.05
goure,13.98,10.27,61.2,36,0,9.42
mar del plata,-46.43,-67.52,70.88,33,0,26.64
te anau,-45.41,167.72,66.92,71,68,3.83
khatanga,71.98,102.47,-32.13,56,48,2.82
tabou,4.42,-7.36,83.3,98,8,9.98
richards bay,-28.77,32.06,68.54,83,12,8.86
champerico,16.38,-93.6,82.4,39,20,3.36
yellowknife,62.45,-114.38,-23.81,67,40,3.15
almaznyy,48.03,40.04,21.2,92,0,2.24
new norfolk,-42.78,147.06,82.4,44,0,20.8
mackenzie,55.34,-123.09,19.4,85,1,2.24
belogorsk,45.06,34.59,29.3,100,44,4.5
karratha,-20.74,116.85,81.72,71,0,3.83
butaritari,3.07,172.79,83.66,100,76,17.25
mahebourg,-20.41,57.7,77.0,94,75,2.24
saskylakh,71.97,114.09,-38.97,82,36,3.15
nanuque,-17.84,-40.35,75.33,89,36,7.74
puntarenas,9.98,-84.84,73.4,56,20,18.34
henties bay,-22.12,14.28,61.65,100,92,5.39
kahului,20.89,-156.47,78.08,48,40,24.16
antalaha,-14.9,50.28,75.47,100,56,7.96
hasaki,35.73,140.83,39.2,44,20,17.22
narsaq,60.91,-46.05,10.4,46,0,14.99
norman wells,65.28,-126.83,5.0,71,90,4.7
batesville,35.77,-91.64,44.96,54,1,11.41
labuhan,-2.54,115.51,76.37,91,88,2.48
zhigansk,66.77,123.37,-26.82,42,48,2.48
portobelo,9.55,-79.65,82.4,61,40,11.41
kurilsk,45.23,147.88,25.34,100,32,12.33
antofagasta,-23.65,-70.4,73.4,69,75,9.17
turbat,26.0,63.05,55.62,90,56,2.71
kaeo,-35.1,173.78,84.78,44,0,12.55
los llanos de aridane,28.66,-17.92,64.4,63,8,12.75
hithadhoo,-0.6,73.08,82.53,100,24,12.1
chokurdakh,70.62,147.9,-28.17,45,64,14.45
chicama,-7.84,-79.15,78.8,65,90,5.82
qaanaaq,77.48,-69.36,-8.96,81,0,10.31
surin,14.88,103.49,64.4,93,0,4.7
zemio,5.02,25.13,74.25,80,20,2.48
ribeira grande,38.52,-28.7,59.81,100,64,5.39
andra,62.52,65.89,7.25,78,56,8.41
bozhou,33.86,115.78,30.29,79,76,3.04
tasiilaq,65.61,-37.64,21.2,79,80,23.04
mandera,3.94,41.86,76.68,51,0,9.53
mataura,-46.19,168.86,72.9,83,12,2.93
bara,10.41,10.6,66.47,40,0,5.17
valparaiso,41.47,-87.06,23.0,85,90,19.46
saint-philippe,45.36,-73.48,-0.41,50,1,5.06
manicore,-5.81,-61.3,78.3,88,32,2.37
gannan,47.92,123.49,5.9,64,8,8.63
nago,45.88,10.89,33.8,100,0,3.36
palana,59.08,159.95,1.8,77,80,0.36
bowen,-20.01,148.25,77.0,94,75,12.75
stroud,51.75,-2.22,35.6,83,40,3.36
saldanha,41.42,-6.55,35.37,90,0,6.62
vaini,15.34,74.49,63.59,89,24,7.96
port-cartier,50.03,-66.88,-9.41,57,5,16.11
ambulu,-8.35,113.61,78.8,100,8,5.73
kapit,2.02,112.94,74.03,97,88,1.92
jiuquan,39.73,98.49,-15.93,36,0,1.92
carnarvon,-30.97,22.13,59.99,21,0,2.82
otane,-39.89,176.62,80.28,57,8,5.95
san patricio,-26.98,-56.83,83.84,61,8,4.61
ayan,40.67,33.6,22.55,75,92,0.69
gubkinskiy,64.43,76.5,-5.54,84,88,10.87
atar,20.52,-13.05,56.25,41,0,7.85
port lincoln,-34.72,135.86,71.82,81,0,5.17
merauke,-8.49,140.4,78.48,100,92,18.81
klaksvik,62.23,-6.59,32.0,100,88,1.12
havre,48.55,-109.68,23.0,62,1,5.82
longyearbyen,78.22,15.63,23.0,62,75,11.41
oranjestad,12.52,-70.03,80.6,74,20,18.34
lompoc,34.64,-120.46,66.92,60,1,12.75
jining,35.41,116.58,22.01,70,68,4.16
dalvik,57.79,14.13,30.2,100,75,8.05
pevek,69.7,170.27,-23.22,100,0,4.5
anito,12.45,125.29,78.08,99,68,16.91
bubaque,11.28,-15.83,77.36,97,0,8.41
grindavik,63.84,-22.43,24.8,79,0,5.82
guerrero negro,27.97,-114.04,67.32,57,64,9.19
severo-kurilsk,50.68,156.12,26.55,100,0,25.97
iralaya,15.0,-83.23,75.2,64,0,18.34
ust-nera,64.57,143.24,-45.68,0,20,1.7
gat,14.69,-16.54,69.8,49,0,14.99
vagur,61.47,-6.81,42.08,100,48,18.59
palmer,-34.85,139.16,75.2,53,0,4.7
oistins,13.07,-59.53,77.0,73,40,13.87
avarua,-21.21,-159.78,84.2,89,40,11.41
faya,18.39,42.45,59.0,50,0,5.82
nishihara,35.74,139.53,42.8,28,0,16.11
meleuz,52.96,55.93,9.18,83,68,8.75
itaituba,-4.26,-55.99,78.35,81,64,3.94
acandi,8.51,-77.28,78.89,83,0,3.38
coxim,-18.5,-54.75,74.12,87,36,2.59
carora,10.17,-70.08,82.13,51,76,3.94
namibe,-15.19,12.15,74.21,100,0,2.48
wewak,-3.55,143.63,81.0,87,20,2.59
preston,53.76,-2.71,37.4,86,75,3.36
raudeberg,61.99,5.14,30.2,92,88,11.41
isangel,-19.55,169.27,79.07,100,64,13.67
ulladulla,-35.36,150.48,80.6,65,20,2.24
ballina,54.11,-9.15,40.23,100,68,10.98
bethel,60.79,-161.76,30.2,100,90,3.36
oussouye,12.49,-16.54,73.4,83,0,4.7
wanning,48.64,13.53,35.6,80,75,14.99
tuxpan,19.56,-103.38,75.2,53,5,11.41
fairbanks,64.84,-147.72,23.0,100,90,3.15
kaspiysk,42.88,47.64,39.2,93,75,6.71
bredasdorp,-34.53,20.04,71.6,83,0,6.93
aswan,24.09,32.9,45.86,93,0,6.96
yaan,7.38,8.57,75.2,93,48,6.73
aklavik,68.22,-135.01,8.6,84,75,6.93
eisenerz,47.54,14.89,12.2,72,20,2.24
la ronge,55.1,-105.3,-14.81,51,20,17.22
caconda,-13.73,15.06,61.25,96,64,2.82
maragogi,-9.01,-35.22,73.4,100,92,5.39
horki,54.29,30.98,15.62,88,88,11.99
canton,40.8,-81.38,44.96,69,90,16.11
chuy,-33.69,-53.46,76.46,93,48,4.5
hit,33.64,42.83,46.49,91,0,10.98
eyl,7.98,49.82,75.29,93,56,15.35
morgan city,29.7,-91.21,61.16,64,90,4.7
pavlodolskaya,43.72,44.47,35.51,96,88,0.13
luanda,-8.83,13.24,78.8,88,20,4.7
broome,52.47,1.45,27.68,92,0,6.93
tuktoyaktuk,69.44,-133.03,6.8,77,75,10.29
yichun,47.72,128.88,-1.98,57,24,4.83
hailun,47.46,126.97,0.95,71,24,12.77
bichura,50.59,107.6,-2.84,45,56,8.19
vardo,39.62,-77.74,33.8,37,1,3.36
bambous virieux,-20.34,57.76,77.0,94,75,3.36
lavrentiya,65.58,-170.99,6.35,82,0,8.97
esperance,10.24,-61.45,77.0,88,40,6.93
ust-kuyga,70.0,135.55,-51.89,0,24,3.04
esso,55.93,158.7,2.57,83,68,2.59
guatire,10.47,-66.54,80.6,78,20,4.7
broken hill,-31.97,141.45,84.2,45,32,8.05
darnah,32.77,22.64,60.75,100,0,17.25
cravo norte,6.3,-70.2,91.31,36,8,8.75
fernandina beach,30.67,-81.46,57.02,72,1,3.36
rawson,-43.3,-65.11,86.13,21,0,10.65
straseni,47.14,28.61,37.4,100,90,10.29
kotaparh,19.15,82.35,59.0,100,88,3.94
comodoro rivadavia,-45.87,-67.48,75.2,27,0,20.8
antsohihy,-14.88,47.99,71.69,100,20,3.71
dryden,49.79,-92.84,-5.81,76,90,5.82
leningradskiy,69.38,178.42,-14.18,87,0,5.39
nanortalik,60.14,-45.24,25.25,100,0,14.67
walvis bay,-22.95,14.51,62.6,88,88,3.36
pakxan,18.39,103.66,53.78,90,8,1.92
luganville,-15.51,167.18,79.38,100,80,8.97
port hardy,50.7,-127.42,46.4,75,75,3.36
gunjur,13.18,-16.76,73.4,38,0,5.82
narkevychi,49.52,26.64,31.23,92,0,13.22
bosaso,11.28,49.18,75.2,100,88,11.32
ola,59.58,151.3,-8.55,100,24,7.29
kosa,59.94,54.99,10.53,80,92,4.83
muros,42.77,-9.06,48.2,87,75,3.36
georgetown,6.8,-58.16,80.6,78,75,9.17
ouargaye,11.5,0.06,64.62,48,0,3.15
tuatapere,-46.13,167.69,68.72,66,0,10.2
goya,-29.14,-59.27,84.65,73,0,8.3
omsukchan,62.53,155.8,-41.18,0,32,2.59
mega,4.06,38.32,60.57,58,8,8.75
altay,47.83,88.13,-19.67,69,0,3.71
denpasar,-8.65,115.22,82.4,78,20,2.24
acapulco,16.86,-99.88,80.6,65,20,10.29
mackay,53.65,-115.58,28.4,68,20,6.93
gallup,35.53,-108.74,50.0,29,1,11.41
luderitz,-26.65,15.16,60.57,98,80,2.04
cabo san lucas,22.89,-109.91,77.0,60,40,3.38
salalah,17.01,54.1,75.2,64,75,5.82
tiarei,-17.53,-149.33,84.2,74,75,19.46
mabaruma,8.2,-59.78,78.57,81,44,7.63
jalu,29.03,21.55,50.72,40,68,12.44
morant bay,17.88,-76.41,80.6,61,40,5.82
sur,22.57,59.53,67.95,100,8,10.76
idrinskoye,54.37,92.14,-7.79,60,68,4.83
taos,36.41,-105.57,35.6,74,0,9.17
garmsar,35.22,52.34,38.7,82,44,2.37
halifax,44.65,-63.58,24.8,62,90,13.87
sioux lookout,50.1,-91.92,-5.81,76,90,5.82
kodiak,39.95,-94.76,19.04,61,1,16.11
kaitangata,-46.28,169.85,71.33,90,20,4.38
bunol,39.42,-0.78,55.4,50,0,9.17
jiayuguan,39.77,98.29,-15.93,36,0,1.92
itarema,-2.92,-39.92,77.99,88,0,10.2
airai,-8.93,125.41,76.32,79,44,1.92
faanui,-16.48,-151.75,80.1,100,48,22.84
roald,62.58,6.12,32.0,100,64,9.17
ubatuba,-23.43,-45.08,80.6,57,20,8.05
perafita,41.22,-8.7,44.6,93,40,7.52
agadez,16.97,7.99,51.35,35,0,7.96
mumford,5.26,-0.76,79.83,85,0,11.65
sabla,12.75,4.71,65.7,47,0,4.61
pudozh,61.81,36.54,3.83,81,80,10.54
anamur,36.08,32.84,44.6,100,0,4.7
sesheke,-17.47,24.29,74.21,57,64,10.76
banyo,6.75,11.81,68.58,76,24,5.84
moron,10.49,-68.2,72.63,74,8,2.93
port moresby,-9.47,147.16,78.8,88,75,17.22
vao,59.1,26.19,16.47,86,88,12.33
cherskiy,68.75,161.3,-29.52,48,0,4.94
fort nelson,58.81,-122.69,10.4,92,90,2.71
yumen,40.29,97.04,2.84,71,12,5.95
oga,8.18,5.65,80.06,74,64,8.41
axim,4.87,-2.24,82.22,99,0,12.1
viransehir,37.24,39.76,41.85,89,12,10.87
cidreira,-30.17,-50.22,76.37,89,48,6.96
narbonne,43.18,3.0,44.6,52,0,14.99
kavaratti,10.57,72.64,80.24,100,0,2.71
waingapu,-9.65,120.26,78.48,88,88,5.61
garowe,8.41,48.48,62.28,90,20,7.4
berlevag,70.86,29.09,-4.32,100,0,6.73
hofn,64.25,-15.21,28.31,100,64,17.36
rio grande,-32.03,-52.1,75.65,96,64,5.95
caucaia,-3.73,-38.66,82.4,78,20,5.82
sedniv,51.64,31.56,22.46,90,92,13.22
larkana,27.56,68.21,49.5,86,0,1.36
cartagena,37.63,-1.0,53.6,50,0,6.93
colares,38.8,-9.45,55.4,87,75,4.7
makakilo city,21.35,-158.09,78.08,41,20,14.99
usinsk,66.0,57.56,5.18,77,56,10.98
sarai naurang,32.83,70.78,32.0,72,0,2.82
oriximina,-1.77,-55.87,78.8,87,44,4.61
holic,48.81,17.16,23.0,92,0,3.36
taltal,-25.41,-70.49,66.6,77,0,3.38
tortoli,39.93,9.66,46.4,100,40,12.75
zhezkazgan,47.8,67.71,-2.21,70,75,15.66
kuytun,54.34,101.51,-4.19,51,36,8.3
ugoofaaru,5.67,73.0,81.9,100,36,9.64
bima,-8.45,118.73,76.82,100,80,4.16
aldan,58.61,125.39,-5.99,81,76,3.49
kishapu,-3.61,33.87,63.77,98,88,3.94
flinders,-34.58,150.85,80.6,65,20,2.24
dicabisagan,17.08,122.42,70.47,100,56,11.99
karlskrona,56.16,15.59,35.6,93,88,3.36
husavik,50.56,-96.99,-11.43,74,0,9.98
nantucket,41.28,-70.1,33.08,71,1,11.41
vestmannaeyjar,63.44,-20.27,26.33,100,0,11.99
fort saint james,54.43,-124.25,23.45,70,0,2.26
virginia beach,36.85,-75.98,35.96,63,40,7.96
bathsheba,13.22,-59.52,77.0,73,40,13.87
unai,-16.36,-46.91,74.12,49,24,4.94
boulder city,35.98,-114.83,68.18,23,1,5.82
mezen,65.85,44.24,6.03,74,56,6.06
kerugoya,-0.5,37.28,52.25,91,8,3.04
seymchan,62.93,152.39,-43.02,0,8,0.81
clyde river,70.47,-68.59,-11.21,83,40,19.46
george town,5.42,100.33,80.6,65,75,5.82
boa vista,2.82,-60.67,87.8,48,0,9.17
staunton,38.15,-79.07,35.06,61,40,6.51
brigantine,39.41,-74.36,30.02,70,1,10.2
sovetskiy,56.76,48.47,-0.72,78,0,6.85
langxiang,46.95,128.87,-4.28,63,8,2.04
grand-santi,4.27,-54.38,75.47,91,92,3.04
rapid city,44.08,-103.23,23.0,89,75,14.99
barpeta,26.33,91.01,60.8,87,75,3.36
havre-saint-pierre,50.23,-63.6,-0.41,59,40,19.46
katangli,51.71,143.23,0.95,100,0,10.09
port macquarie,-31.43,152.91,84.2,48,0,12.75
penzance,50.12,-5.53,39.2,80,75,5.82
rajaldesar,28.03,74.47,39.11,77,0,2.82
provideniya,64.42,-173.23,6.8,65,0,4.47
san andres,13.32,122.68,75.29,100,68,18.59
tessalit,20.2,1.01,46.53,40,0,5.95
boo,7.44,8.9,75.15,93,32,5.17
grand-lahou,5.24,-5.0,77.45,90,8,5.95
bagdarin,54.44,113.59,-13.5,53,0,8.75
chimbote,-9.08,-78.59,73.49,91,68,4.27
alofi,-19.06,-169.92,84.2,58,40,11.41
sinnamary,5.38,-52.96,77.9,100,92,10.42
milkovo,41.53,24.68,32.0,98,44,4.7
manzanillo,20.34,-77.12,78.17,99,100,13.33
kardla,58.44,26.57,15.8,72,75,6.93
escada,-8.36,-35.22,77.0,94,75,6.96
berdigestyakh,62.1,126.7,-22.82,65,68,3.71
yatou,3.63,9.81,80.6,94,40,2.24
sumbe,-11.2,13.84,76.82,100,24,3.6
jenbach,47.39,11.77,28.4,86,75,2.24
douentza,15.01,-2.95,53.87,51,0,5.39
persianovskiy,47.51,40.11,21.2,92,0,4.47
nizwa,22.93,57.53,48.6,82,24,3.15
prince rupert,54.32,-130.32,46.4,92,1,3.36
chauk,20.89,94.82,59.36,92,0,3.15
kitui,-1.37,38.02,62.33,84,68,2.15
mamallapuram,12.63,80.17,73.4,88,20,2.24
verkhneuralsk,53.88,59.21,-4.01,76,90,13.42
saint-ambroise,47.25,-0.65,35.6,93,0,2.24
comonfort,20.72,-100.76,68.0,20,5,10.29
runcu,44.59,26.21,28.4,92,12,3.36
skjervoy,70.03,20.97,17.6,100,36,14.45
moerai,-22.43,-151.33,77.81,100,92,26.19
bozoum,6.31,16.38,69.35,36,0,7.63
isabela,10.2,122.99,73.58,76,12,4.5
pirajui,-22.0,-49.46,89.6,40,0,1.12
samarai,-10.62,150.67,83.57,100,56,13.11
mehamn,71.03,27.85,-3.47,100,0,5.61
aparecida do taboado,-20.08,-51.1,82.49,58,8,8.41
port-gentil,-0.72,8.78,80.6,88,40,4.7
elat,2.91,11.16,70.07,99,36,2.37
grand gaube,-20.01,57.66,77.0,94,75,3.36
moyale,3.52,39.05,64.76,54,8,6.4
new ulm,44.31,-94.46,4.28,77,90,21.92
omuta,33.03,130.45,42.8,93,0,2.24
saint-joseph,43.56,6.97,42.8,59,0,3.36
evanston,42.04,-87.69,19.04,83,90,20.8
camacha,33.08,-16.33,60.8,72,75,10.29
yulara,-25.24,130.99,82.4,34,90,10.29
pitea,65.32,21.48,8.6,92,92,3.36
bilma,18.69,12.92,42.3,54,0,0.58
lagoa,37.14,-8.45,51.8,93,0,6.93
mandalgovi,45.76,106.27,4.05,61,48,20.27
san cristobal,-0.39,-78.55,60.8,77,75,8.05
salinopolis,-0.61,-47.36,77.36,100,92,10.09
perth,56.4,-3.43,33.8,90,0,11.41
hami,42.84,93.51,18.86,87,92,0.13
zamosc,50.72,23.25,32.0,99,90,3.36
toora-khem,52.47,96.11,-19.67,74,36,2.15
kloulklubed,7.04,134.26,82.4,78,75,9.17
puerto el triunfo,13.27,-88.55,86.0,61,0,5.82
beringovskiy,63.05,179.32,4.05,99,36,3.49
llanes,43.42,-4.75,38.25,96,80,3.27
launceston,-41.43,147.14,73.4,46,0,18.34
ixtapa,20.71,-105.21,77.0,69,40,9.17
bilibino,68.06,166.44,-30.74,49,48,2.37
plainview,34.18,-101.71,44.06,41,90,16.11
codrington,-28.95,153.24,86.0,48,44,11.41
chara,39.42,22.43,42.8,93,40,3.6
enumclaw,47.2,-121.99,50.0,66,1,2.04
solnechnyy,50.72,136.64,-10.31,70,0,5.61
moyobamba,-6.03,-76.97,75.38,85,8,2.04
gawler,-34.6,138.75,75.2,53,0,4.7
christchurch,-43.53,172.64,68.0,77,36,17.22
charleston,38.35,-81.63,50.0,42,90,8.05
nokaneng,-19.66,22.19,72.5,65,8,8.75
shimanovsk,52.0,127.67,1.85,67,44,6.62
miles city,46.41,-105.84,21.92,59,90,25.28
juazeiro,-9.43,-40.51,82.4,58,0,11.41
mahayag,8.13,123.44,72.9,95,80,6.85
barranca,-10.75,-77.76,73.17,100,80,4.72
zeya,53.74,127.27,-7.61,73,88,3.38
meulaboh,4.14,96.13,76.05,100,56,0.13
westport,53.8,-9.52,42.08,100,80,13.44
guican,6.46,-72.41,54.32,91,92,1.03
biharamulo,-2.64,31.31,61.92,83,36,2.59
chingirlau,51.09,54.08,13.82,86,88,8.41
bartica,6.41,-58.62,75.2,94,20,4.7
san juan,18.47,-66.12,78.08,73,40,8.05
bud,62.91,6.91,32.0,92,88,6.93
victor harbor,-35.55,138.62,75.2,53,0,4.7
honningsvag,70.98,25.97,7.2,100,8,12.77
progreso,-34.68,-56.22,82.4,65,20,4.7
griffith,-34.29,146.06,75.2,83,80,9.17
northam,51.04,-4.21,37.4,96,0,2.24
patea,-39.76,174.48,81.77,75,32,0.92
najran,17.54,44.22,64.4,27,5,4.7
westerly,41.38,-71.83,30.92,42,12,6.93
at-bashi,41.17,75.81,-19.35,42,0,1.92
brae,60.4,-1.35,39.2,86,92,16.11
sydney,-33.85,151.22,84.2,62,20,9.17
laguna,27.52,-110.01,75.2,36,75,5.82
padang,-0.92,100.36,73.4,94,20,2.24
foam lake,51.65,-103.53,-2.66,69,36,20.83
waddan,29.16,16.14,45.59,58,20,6.62
altamont,49.4,-98.5,-0.41,100,44,5.28
kysyl-syr,63.9,122.77,-26.69,41,56,5.06
blue springs,39.02,-94.28,26.6,53,1,14.99
pisco,-13.71,-76.2,75.2,94,90,10.29
hendek,40.8,30.75,35.6,100,0,2.24
qianguo,45.12,124.86,15.44,48,20,17.13
oxapampa,-10.58,-75.4,57.15,91,32,1.36
saint albans,44.81,-73.08,1.04,50,1,3.38
half moon bay,37.46,-122.43,66.2,62,75,10.29
tiznit,29.7,-9.73,49.77,91,0,3.27
sile,35.56,-106.37,53.96,50,20,21.92
poum,41.28,20.71,37.22,100,92,1.59
sao joao da barra,-21.64,-41.05,81.27,96,0,14.45
malanje,-9.54,16.35,68.09,99,68,4.05
hamilton,32.3,-64.78,69.8,94,75,19.46
coos bay,43.37,-124.22,55.94,66,1,5.82
skelleftea,64.75,20.95,12.2,92,92,3.36
morondava,-20.3,44.28,71.69,100,92,7.29
egvekinot,66.32,-179.17,-19.31,54,8,2.93
inirida,3.87,-67.92,81.63,72,36,1.14
bijie,27.3,105.3,39.42,100,92,2.93
artvin,41.18,41.83,48.2,87,75,6.93
sierpc,52.85,19.67,32.18,100,88,7.4
brumado,-14.2,-41.67,74.21,68,0,10.65
bonavista,48.65,-53.11,30.87,90,12,8.86
skibbereen,51.55,-9.27,37.4,93,75,5.82
hirara,24.8,125.28,66.2,72,40,8.05
tazovskiy,67.47,78.7,-25.83,40,48,13.56
mogadishu,2.04,45.34,78.26,100,56,22.62
sao gabriel da cachoeira,-0.13,-67.09,81.41,82,0,2.37
lima,-12.06,-77.04,78.8,74,75,10.29
lata,30.78,78.62,22.95,63,0,3.38
hervey bay,-25.3,152.85,82.4,58,40,16.11
paamiut,61.99,-49.67,24.44,100,48,7.18
cabedelo,-6.97,-34.84,77.0,94,20,9.17
sitka,37.17,-99.65,34.47,46,48,17.25
sola,58.89,5.65,28.4,79,75,9.17
kasongo-lunda,-6.48,16.82,68.13,100,76,2.37
nuuk,64.17,-51.74,17.6,57,76,9.17
danville,36.59,-79.4,46.04,46,1,3.36
felanitx,39.47,3.15,53.6,62,20,10.29
keetmanshoop,-26.57,18.15,78.8,31,80,10.29
guasdualito,7.24,-70.73,84.2,54,20,7.74
ambilobe,-13.19,49.05,72.18,94,24,2.93
wamba,2.14,27.99,77.54,66,64,3.6
kirakira,-10.46,161.92,83.12,100,36,8.75
komsomolskiy,67.55,63.78,-3.2,74,64,6.4
deputatskiy,69.3,139.9,-35.82,64,64,5.06
saint-augustin,44.83,-0.61,44.6,93,75,5.82
mishan,45.55,131.88,5.27,68,0,2.93
kulhudhuffushi,6.62,73.07,81.27,100,68,10.2
burns lake,54.23,-125.76,27.59,67,12,2.37
orlik,52.51,99.83,-22.1,51,20,3.38
opuwo,-18.06,13.84,63.14,33,0,4.61
san policarpo,12.18,125.51,76.19,94,48,13.78
yenagoa,4.92,6.26,78.62,84,36,5.95
ucluelet,48.94,-125.55,41.4,85,48,2.59
kruisfontein,-34.0,24.73,68.0,82,0,13.22
eureka,40.8,-124.16,57.2,100,1,4.7
capanema,-25.67,-53.8,80.6,78,0,4.7
praia da vitoria,38.73,-27.07,57.2,82,40,1.7
matara,-13.74,-72.9,49.05,88,80,0.58
seoul,37.57,126.98,23.0,62,1,2.24
syracuse,43.05,-76.15,17.06,55,75,11.41
el alto,-16.5,-68.19,48.2,70,75,8.05
tucurui,-3.77,-49.67,79.02,83,80,2.71
dhidhdhoo,6.88,73.1,81.27,100,68,10.2
fukue,35.03,136.69,42.8,52,20,25.28
torbay,47.66,-52.73,35.6,100,90,14.99
koboko,3.41,30.96,82.8,44,100,5.06
manica,-18.94,32.88,68.0,94,20,4.7
saint-francois,46.42,3.91,30.2,86,0,2.24
millinocket,45.66,-68.71,1.04,58,1,4.7
yinchuan,38.48,106.21,13.23,77,76,3.6
manokwari,-0.87,134.08,81.45,100,80,1.14
khvoynaya,58.9,34.53,11.48,88,92,6.4
diffa,13.32,12.61,62.55,29,0,8.63
wichita falls,33.91,-98.49,45.86,41,75,18.34
javanrud,34.8,46.49,39.2,69,40,9.17
marsabit,2.34,37.99,68.36,64,12,5.61
rota,36.62,-6.36,55.4,87,0,9.17
sao filipe,14.9,-24.5,75.02,86,32,13.0
abonnema,4.71,6.79,74.57,95,36,3.71
